"Index Name","Date","Open","High","Low","Close"
"NIFTY500 MOMENTUM 50","31 Dec 2020","-","-","-","18961.29"
"NIFTY500 MOMENTUM 50","30 Dec 2020","-","-","-","18940.06"
"NIFTY500 MOMENTUM 50","29 Dec 2020","-","-","-","18911.33"
"NIFTY500 MOMENTUM 50","28 Dec 2020","-","-","-","18935.27"
"NIFTY500 MOMENTUM 50","24 Dec 2020","-","-","-","18826.36"
"NIFTY500 MOMENTUM 50","23 Dec 2020","-","-","-","18684.37"
"NIFTY500 MOMENTUM 50","22 Dec 2020","-","-","-","18361.45"
"NIFTY500 MOMENTUM 50","21 Dec 2020","-","-","-","18080.63"
"NIFTY500 MOMENTUM 50","18 Dec 2020","-","-","-","18674.95"
"NIFTY500 MOMENTUM 50","17 Dec 2020","-","-","-","18596.87"
"NIFTY500 MOMENTUM 50","16 Dec 2020","-","-","-","18547.44"
"NIFTY500 MOMENTUM 50","15 Dec 2020","-","-","-","18400.44"
"NIFTY500 MOMENTUM 50","14 Dec 2020","-","-","-","18484.42"
"NIFTY500 MOMENTUM 50","11 Dec 2020","-","-","-","18357.80"
"NIFTY500 MOMENTUM 50","10 Dec 2020","-","-","-","18427.44"
"NIFTY500 MOMENTUM 50","09 Dec 2020","-","-","-","18309.37"
"NIFTY500 MOMENTUM 50","08 Dec 2020","-","-","-","18197.93"
"NIFTY500 MOMENTUM 50","07 Dec 2020","-","-","-","18286.71"
"NIFTY500 MOMENTUM 50","04 Dec 2020","-","-","-","18153.23"
"NIFTY500 MOMENTUM 50","03 Dec 2020","-","-","-","18036.61"
"NIFTY500 MOMENTUM 50","02 Dec 2020","-","-","-","17866.16"
"NIFTY500 MOMENTUM 50","01 Dec 2020","-","-","-","17821.48"
"NIFTY500 MOMENTUM 50","27 Nov 2020","-","-","-","17821.29"
"NIFTY500 MOMENTUM 50","26 Nov 2020","-","-","-","17552.32"
"NIFTY500 MOMENTUM 50","25 Nov 2020","-","-","-","17420.95"
"NIFTY500 MOMENTUM 50","24 Nov 2020","-","-","-","17730.41"
"NIFTY500 MOMENTUM 50","23 Nov 2020","-","-","-","17603.59"
"NIFTY500 MOMENTUM 50","20 Nov 2020","-","-","-","17401.81"
"NIFTY500 MOMENTUM 50","19 Nov 2020","-","-","-","17256.44"
"NIFTY500 MOMENTUM 50","18 Nov 2020","-","-","-","17390.40"
"NIFTY500 MOMENTUM 50","17 Nov 2020","-","-","-","17416.20"
"NIFTY500 MOMENTUM 50","14 Nov 2020","-","-","-","17381.67"
"NIFTY500 MOMENTUM 50","13 Nov 2020","-","-","-","17299.16"
"NIFTY500 MOMENTUM 50","12 Nov 2020","-","-","-","17147.28"
"NIFTY500 MOMENTUM 50","11 Nov 2020","-","-","-","17056.88"
"NIFTY500 MOMENTUM 50","10 Nov 2020","-","-","-","16793.41"
"NIFTY500 MOMENTUM 50","09 Nov 2020","-","-","-","17235.42"
"NIFTY500 MOMENTUM 50","06 Nov 2020","-","-","-","17109.22"
"NIFTY500 MOMENTUM 50","05 Nov 2020","-","-","-","17107.66"
"NIFTY500 MOMENTUM 50","04 Nov 2020","-","-","-","16858.56"
"NIFTY500 MOMENTUM 50","03 Nov 2020","-","-","-","16724.88"
"NIFTY500 MOMENTUM 50","02 Nov 2020","-","-","-","16645.04"
"NIFTY500 MOMENTUM 50","30 Oct 2020","-","-","-","16711.23"
"NIFTY500 MOMENTUM 50","29 Oct 2020","-","-","-","16724.44"
"NIFTY500 MOMENTUM 50","28 Oct 2020","-","-","-","16722.71"
"NIFTY500 MOMENTUM 50","27 Oct 2020","-","-","-","16850.15"
"NIFTY500 MOMENTUM 50","26 Oct 2020","-","-","-","16468.15"
"NIFTY500 MOMENTUM 50","23 Oct 2020","-","-","-","16574.29"
"NIFTY500 MOMENTUM 50","22 Oct 2020","-","-","-","16521.83"
"NIFTY500 MOMENTUM 50","21 Oct 2020","-","-","-","16556.58"
"NIFTY500 MOMENTUM 50","20 Oct 2020","-","-","-","16599.12"
"NIFTY500 MOMENTUM 50","19 Oct 2020","-","-","-","16542.20"
"NIFTY500 MOMENTUM 50","16 Oct 2020","-","-","-","16557.15"
"NIFTY500 MOMENTUM 50","15 Oct 2020","-","-","-","16401.99"
"NIFTY500 MOMENTUM 50","14 Oct 2020","-","-","-","16637.96"
"NIFTY500 MOMENTUM 50","13 Oct 2020","-","-","-","16581.49"
"NIFTY500 MOMENTUM 50","12 Oct 2020","-","-","-","16691.84"
"NIFTY500 MOMENTUM 50","09 Oct 2020","-","-","-","16643.02"
"NIFTY500 MOMENTUM 50","08 Oct 2020","-","-","-","16815.14"
"NIFTY500 MOMENTUM 50","07 Oct 2020","-","-","-","16732.82"
"NIFTY500 MOMENTUM 50","06 Oct 2020","-","-","-","16780.94"
"NIFTY500 MOMENTUM 50","05 Oct 2020","-","-","-","16715.64"
"NIFTY500 MOMENTUM 50","01 Oct 2020","-","-","-","16691.74"
"NIFTY500 MOMENTUM 50","30 Sep 2020","-","-","-","16599.42"
"NIFTY500 MOMENTUM 50","29 Sep 2020","-","-","-","16588.38"
"NIFTY500 MOMENTUM 50","28 Sep 2020","-","-","-","16680.20"
"NIFTY500 MOMENTUM 50","25 Sep 2020","-","-","-","16393.62"
"NIFTY500 MOMENTUM 50","24 Sep 2020","-","-","-","16029.85"
"NIFTY500 MOMENTUM 50","23 Sep 2020","-","-","-","16314.15"
"NIFTY500 MOMENTUM 50","22 Sep 2020","-","-","-","16445.66"
"NIFTY500 MOMENTUM 50","21 Sep 2020","-","-","-","16567.72"
"NIFTY500 MOMENTUM 50","18 Sep 2020","-","-","-","17170.97"
"NIFTY500 MOMENTUM 50","17 Sep 2020","-","-","-","16923.60"
"NIFTY500 MOMENTUM 50","16 Sep 2020","-","-","-","16943.82"
"NIFTY500 MOMENTUM 50","15 Sep 2020","-","-","-","16820.05"
"NIFTY500 MOMENTUM 50","14 Sep 2020","-","-","-","16629.53"
"NIFTY500 MOMENTUM 50","11 Sep 2020","-","-","-","16462.25"
