"Index Name","Date","Open","High","Low","Close"
"NIFTY500 MOMENTUM 50","31 Dec 2015","-","-","-","10132.96"
"NIFTY500 MOMENTUM 50","30 Dec 2015","-","-","-","10120.83"
"NIFTY500 MOMENTUM 50","29 Dec 2015","-","-","-","10144.01"
"NIFTY500 MOMENTUM 50","28 Dec 2015","-","-","-","10089.61"
"NIFTY500 MOMENTUM 50","24 Dec 2015","-","-","-","10053.09"
"NIFTY500 MOMENTUM 50","23 Dec 2015","-","-","-","10055.24"
"NIFTY500 MOMENTUM 50","22 Dec 2015","-","-","-","9989.55"
"NIFTY500 MOMENTUM 50","21 Dec 2015","-","-","-","9993.08"
"NIFTY500 MOMENTUM 50","18 Dec 2015","-","-","-","9930.17"
"NIFTY500 MOMENTUM 50","17 Dec 2015","-","-","-","9946.30"
"NIFTY500 MOMENTUM 50","16 Dec 2015","-","-","-","9756.46"
"NIFTY500 MOMENTUM 50","15 Dec 2015","-","-","-","9719.64"
"NIFTY500 MOMENTUM 50","14 Dec 2015","-","-","-","9643.75"
"NIFTY500 MOMENTUM 50","11 Dec 2015","-","-","-","9624.27"
"NIFTY500 MOMENTUM 50","10 Dec 2015","-","-","-","9688.40"
"NIFTY500 MOMENTUM 50","09 Dec 2015","-","-","-","9593.21"
"NIFTY500 MOMENTUM 50","08 Dec 2015","-","-","-","9803.52"
"NIFTY500 MOMENTUM 50","07 Dec 2015","-","-","-","9902.14"
"NIFTY500 MOMENTUM 50","04 Dec 2015","-","-","-","9921.46"
"NIFTY500 MOMENTUM 50","03 Dec 2015","-","-","-","9991.87"
"NIFTY500 MOMENTUM 50","02 Dec 2015","-","-","-","10072.28"
"NIFTY500 MOMENTUM 50","01 Dec 2015","-","-","-","10080.49"
"NIFTY500 MOMENTUM 50","30 Nov 2015","-","-","-","10011.36"
"NIFTY500 MOMENTUM 50","27 Nov 2015","-","-","-","9969.02"
"NIFTY500 MOMENTUM 50","26 Nov 2015","-","-","-","9912.59"
"NIFTY500 MOMENTUM 50","24 Nov 2015","-","-","-","9987.01"
"NIFTY500 MOMENTUM 50","23 Nov 2015","-","-","-","9979.72"
"NIFTY500 MOMENTUM 50","20 Nov 2015","-","-","-","9886.78"
"NIFTY500 MOMENTUM 50","19 Nov 2015","-","-","-","9798.29"
"NIFTY500 MOMENTUM 50","18 Nov 2015","-","-","-","9679.62"
"NIFTY500 MOMENTUM 50","17 Nov 2015","-","-","-","9723.93"
"NIFTY500 MOMENTUM 50","16 Nov 2015","-","-","-","9722.42"
"NIFTY500 MOMENTUM 50","13 Nov 2015","-","-","-","9731.28"
"NIFTY500 MOMENTUM 50","11 Nov 2015","-","-","-","9866.53"
"NIFTY500 MOMENTUM 50","10 Nov 2015","-","-","-","9773.48"
"NIFTY500 MOMENTUM 50","09 Nov 2015","-","-","-","9919.48"
"NIFTY500 MOMENTUM 50","06 Nov 2015","-","-","-","9866.70"
"NIFTY500 MOMENTUM 50","05 Nov 2015","-","-","-","10011.64"
"NIFTY500 MOMENTUM 50","04 Nov 2015","-","-","-","10175.30"
"NIFTY500 MOMENTUM 50","03 Nov 2015","-","-","-","10215.64"
"NIFTY500 MOMENTUM 50","02 Nov 2015","-","-","-","10156.26"
"NIFTY500 MOMENTUM 50","30 Oct 2015","-","-","-","10169.37"
"NIFTY500 MOMENTUM 50","29 Oct 2015","-","-","-","10174.81"
"NIFTY500 MOMENTUM 50","28 Oct 2015","-","-","-","10204.60"
"NIFTY500 MOMENTUM 50","27 Oct 2015","-","-","-","10233.70"
"NIFTY500 MOMENTUM 50","26 Oct 2015","-","-","-","10240.07"
"NIFTY500 MOMENTUM 50","23 Oct 2015","-","-","-","10326.18"
"NIFTY500 MOMENTUM 50","21 Oct 2015","-","-","-","10347.13"
"NIFTY500 MOMENTUM 50","20 Oct 2015","-","-","-","10343.94"
"NIFTY500 MOMENTUM 50","19 Oct 2015","-","-","-","10325.88"
"NIFTY500 MOMENTUM 50","16 Oct 2015","-","-","-","10225.32"
"NIFTY500 MOMENTUM 50","15 Oct 2015","-","-","-","10200.86"
"NIFTY500 MOMENTUM 50","14 Oct 2015","-","-","-","10231.19"
"NIFTY500 MOMENTUM 50","13 Oct 2015","-","-","-","10156.15"
"NIFTY500 MOMENTUM 50","12 Oct 2015","-","-","-","10204.56"
"NIFTY500 MOMENTUM 50","09 Oct 2015","-","-","-","10219.76"
"NIFTY500 MOMENTUM 50","08 Oct 2015","-","-","-","10246.06"
"NIFTY500 MOMENTUM 50","07 Oct 2015","-","-","-","10340.82"
"NIFTY500 MOMENTUM 50","06 Oct 2015","-","-","-","10397.44"
"NIFTY500 MOMENTUM 50","05 Oct 2015","-","-","-","10272.81"
"NIFTY500 MOMENTUM 50","01 Oct 2015","-","-","-","10112.18"
"NIFTY500 MOMENTUM 50","30 Sep 2015","-","-","-","10072.91"
"NIFTY500 MOMENTUM 50","29 Sep 2015","-","-","-","9846.00"
"NIFTY500 MOMENTUM 50","28 Sep 2015","-","-","-","9855.15"
"NIFTY500 MOMENTUM 50","24 Sep 2015","-","-","-","9794.93"
"NIFTY500 MOMENTUM 50","23 Sep 2015","-","-","-","9776.40"
"NIFTY500 MOMENTUM 50","22 Sep 2015","-","-","-","9692.64"
"NIFTY500 MOMENTUM 50","21 Sep 2015","-","-","-","9790.83"
"NIFTY500 MOMENTUM 50","18 Sep 2015","-","-","-","9739.20"
"NIFTY500 MOMENTUM 50","16 Sep 2015","-","-","-","9688.35"
"NIFTY500 MOMENTUM 50","15 Sep 2015","-","-","-","9785.83"
"NIFTY500 MOMENTUM 50","14 Sep 2015","-","-","-","9863.56"
"NIFTY500 MOMENTUM 50","11 Sep 2015","-","-","-","9793.71"
"NIFTY500 MOMENTUM 50","10 Sep 2015","-","-","-","9694.81"
"NIFTY500 MOMENTUM 50","09 Sep 2015","-","-","-","9683.34"
"NIFTY500 MOMENTUM 50","08 Sep 2015","-","-","-","9476.60"
"NIFTY500 MOMENTUM 50","07 Sep 2015","-","-","-","9409.40"
"NIFTY500 MOMENTUM 50","04 Sep 2015","-","-","-","9653.49"
"NIFTY500 MOMENTUM 50","03 Sep 2015","-","-","-","9898.29"
"NIFTY500 MOMENTUM 50","02 Sep 2015","-","-","-","9790.66"
"NIFTY500 MOMENTUM 50","01 Sep 2015","-","-","-","9824.72"
"NIFTY500 MOMENTUM 50","31 Aug 2015","-","-","-","10085.77"
"NIFTY500 MOMENTUM 50","28 Aug 2015","-","-","-","10171.80"
"NIFTY500 MOMENTUM 50","27 Aug 2015","-","-","-","10125.43"
"NIFTY500 MOMENTUM 50","26 Aug 2015","-","-","-","9863.98"
"NIFTY500 MOMENTUM 50","25 Aug 2015","-","-","-","9848.87"
"NIFTY500 MOMENTUM 50","24 Aug 2015","-","-","-","9693.19"
"NIFTY500 MOMENTUM 50","21 Aug 2015","-","-","-","10701.46"
"NIFTY500 MOMENTUM 50","20 Aug 2015","-","-","-","10841.46"
"NIFTY500 MOMENTUM 50","19 Aug 2015","-","-","-","11017.06"
"NIFTY500 MOMENTUM 50","18 Aug 2015","-","-","-","10965.69"
"NIFTY500 MOMENTUM 50","17 Aug 2015","-","-","-","10767.13"
"NIFTY500 MOMENTUM 50","14 Aug 2015","-","-","-","10750.77"
"NIFTY500 MOMENTUM 50","13 Aug 2015","-","-","-","10520.37"
"NIFTY500 MOMENTUM 50","12 Aug 2015","-","-","-","10595.86"
"NIFTY500 MOMENTUM 50","11 Aug 2015","-","-","-","10868.33"
"NIFTY500 MOMENTUM 50","10 Aug 2015","-","-","-","10999.02"
"NIFTY500 MOMENTUM 50","07 Aug 2015","-","-","-","11018.61"
"NIFTY500 MOMENTUM 50","06 Aug 2015","-","-","-","11052.35"
"NIFTY500 MOMENTUM 50","05 Aug 2015","-","-","-","11109.33"
"NIFTY500 MOMENTUM 50","04 Aug 2015","-","-","-","11008.76"
"NIFTY500 MOMENTUM 50","03 Aug 2015","-","-","-","10810.73"
"NIFTY500 MOMENTUM 50","31 Jul 2015","-","-","-","10720.14"
"NIFTY500 MOMENTUM 50","30 Jul 2015","-","-","-","10607.58"
"NIFTY500 MOMENTUM 50","29 Jul 2015","-","-","-","10549.99"
"NIFTY500 MOMENTUM 50","28 Jul 2015","-","-","-","10415.51"
"NIFTY500 MOMENTUM 50","27 Jul 2015","-","-","-","10393.58"
"NIFTY500 MOMENTUM 50","24 Jul 2015","-","-","-","10520.94"
"NIFTY500 MOMENTUM 50","23 Jul 2015","-","-","-","10571.09"
"NIFTY500 MOMENTUM 50","22 Jul 2015","-","-","-","10538.09"
"NIFTY500 MOMENTUM 50","21 Jul 2015","-","-","-","10426.38"
"NIFTY500 MOMENTUM 50","20 Jul 2015","-","-","-","10589.97"
"NIFTY500 MOMENTUM 50","17 Jul 2015","-","-","-","10517.37"
"NIFTY500 MOMENTUM 50","16 Jul 2015","-","-","-","10460.13"
"NIFTY500 MOMENTUM 50","15 Jul 2015","-","-","-","10306.05"
"NIFTY500 MOMENTUM 50","14 Jul 2015","-","-","-","10259.85"
"NIFTY500 MOMENTUM 50","13 Jul 2015","-","-","-","10256.52"
"NIFTY500 MOMENTUM 50","10 Jul 2015","-","-","-","10118.37"
"NIFTY500 MOMENTUM 50","09 Jul 2015","-","-","-","10072.30"
"NIFTY500 MOMENTUM 50","08 Jul 2015","-","-","-","10112.14"
"NIFTY500 MOMENTUM 50","07 Jul 2015","-","-","-","10312.53"
"NIFTY500 MOMENTUM 50","06 Jul 2015","-","-","-","10281.55"
"NIFTY500 MOMENTUM 50","03 Jul 2015","-","-","-","10187.11"
"NIFTY500 MOMENTUM 50","02 Jul 2015","-","-","-","10247.41"
"NIFTY500 MOMENTUM 50","01 Jul 2015","-","-","-","10123.74"
"NIFTY500 MOMENTUM 50","30 Jun 2015","-","-","-","9952.89"
"NIFTY500 MOMENTUM 50","29 Jun 2015","-","-","-","9808.23"
"NIFTY500 MOMENTUM 50","26 Jun 2015","-","-","-","9982.11"
"NIFTY500 MOMENTUM 50","25 Jun 2015","-","-","-","9942.81"
"NIFTY500 MOMENTUM 50","24 Jun 2015","-","-","-","9894.69"
"NIFTY500 MOMENTUM 50","23 Jun 2015","-","-","-","9978.53"
"NIFTY500 MOMENTUM 50","22 Jun 2015","-","-","-","9957.19"
"NIFTY500 MOMENTUM 50","19 Jun 2015","-","-","-","9820.31"
"NIFTY500 MOMENTUM 50","18 Jun 2015","-","-","-","9740.07"
"NIFTY500 MOMENTUM 50","17 Jun 2015","-","-","-","9580.90"
"NIFTY500 MOMENTUM 50","16 Jun 2015","-","-","-","9383.59"
"NIFTY500 MOMENTUM 50","15 Jun 2015","-","-","-","9309.14"
"NIFTY500 MOMENTUM 50","12 Jun 2015","-","-","-","9259.86"
"NIFTY500 MOMENTUM 50","11 Jun 2015","-","-","-","9319.27"
"NIFTY500 MOMENTUM 50","10 Jun 2015","-","-","-","9508.09"
"NIFTY500 MOMENTUM 50","09 Jun 2015","-","-","-","9333.83"
"NIFTY500 MOMENTUM 50","08 Jun 2015","-","-","-","9447.27"
"NIFTY500 MOMENTUM 50","05 Jun 2015","-","-","-","9615.67"
"NIFTY500 MOMENTUM 50","04 Jun 2015","-","-","-","9588.05"
"NIFTY500 MOMENTUM 50","03 Jun 2015","-","-","-","9590.36"
"NIFTY500 MOMENTUM 50","02 Jun 2015","-","-","-","9767.58"
"NIFTY500 MOMENTUM 50","01 Jun 2015","-","-","-","10052.43"
"NIFTY500 MOMENTUM 50","29 May 2015","-","-","-","10028.31"
"NIFTY500 MOMENTUM 50","28 May 2015","-","-","-","9830.32"
"NIFTY500 MOMENTUM 50","27 May 2015","-","-","-","9883.99"
"NIFTY500 MOMENTUM 50","26 May 2015","-","-","-","9876.76"
"NIFTY500 MOMENTUM 50","25 May 2015","-","-","-","9896.91"
"NIFTY500 MOMENTUM 50","22 May 2015","-","-","-","9884.15"
"NIFTY500 MOMENTUM 50","21 May 2015","-","-","-","9838.87"
"NIFTY500 MOMENTUM 50","20 May 2015","-","-","-","9843.52"
"NIFTY500 MOMENTUM 50","19 May 2015","-","-","-","9816.09"
"NIFTY500 MOMENTUM 50","18 May 2015","-","-","-","9818.56"
"NIFTY500 MOMENTUM 50","15 May 2015","-","-","-","9700.18"
"NIFTY500 MOMENTUM 50","14 May 2015","-","-","-","9662.80"
"NIFTY500 MOMENTUM 50","13 May 2015","-","-","-","9534.67"
"NIFTY500 MOMENTUM 50","12 May 2015","-","-","-","9386.97"
"NIFTY500 MOMENTUM 50","11 May 2015","-","-","-","9609.11"
