"Index Name","Date","Open","High","Low","Close"
"NIFTY500 MOMENTUM 50","24 Dec 2025","53636.85","53904","53381.35","53429.40"
"NIFTY500 MOMENTUM 50","23 Dec 2025","53626.25","53687.25","53410.05","53592.60"
"NIFTY500 MOMENTUM 50","22 Dec 2025","53251.3","53578.75","53129.5","53542.85"
"NIFTY500 MOMENTUM 50","19 Dec 2025","52711.25","53245.15","52698.6","53155.30"
"NIFTY500 MOMENTUM 50","18 Dec 2025","52387.55","52682.3","52040.4","52562.85"
"NIFTY500 MOMENTUM 50","17 Dec 2025","52828.9","52982.4","52199.95","52330.70"
"NIFTY500 MOMENTUM 50","16 Dec 2025","53206.45","53211.25","52677.65","52794.15"
"NIFTY500 MOMENTUM 50","15 Dec 2025","53262.5","53276.2","52957.05","53212.00"
"NIFTY500 MOMENTUM 50","12 Dec 2025","53014.1","53356.7","52986.65","53325.20"
"NIFTY500 MOMENTUM 50","11 Dec 2025","52499.65","52978.05","52359.2","52877.90"
"NIFTY500 MOMENTUM 50","10 Dec 2025","53085.4","53227.15","52461.55","52529.70"
"NIFTY500 MOMENTUM 50","09 Dec 2025","52852.8","53126.65","52116.35","53066.70"
"NIFTY500 MOMENTUM 50","08 Dec 2025","53893.55","54027.15","52790.1","52977.40"
"NIFTY500 MOMENTUM 50","05 Dec 2025","53679.7","54145.25","53503.6","54014.30"
"NIFTY500 MOMENTUM 50","04 Dec 2025","53741.55","53880.8","53509.85","53707.75"
"NIFTY500 MOMENTUM 50","03 Dec 2025","54308.8","54391.9","53632.05","53747.10"
"NIFTY500 MOMENTUM 50","02 Dec 2025","54504","54714.95","54230.4","54368.10"
"NIFTY500 MOMENTUM 50","01 Dec 2025","54972.85","54993.8","54513.15","54616.70"
"NIFTY500 MOMENTUM 50","28 Nov 2025","55061.2","55096.65","54677.9","54778.55"
"NIFTY500 MOMENTUM 50","27 Nov 2025","55022.25","55113.8","54764.15","54928.85"
"NIFTY500 MOMENTUM 50","26 Nov 2025","54097.65","54900.05","54027.6","54871.70"
"NIFTY500 MOMENTUM 50","25 Nov 2025","53914","54108.4","53810.75","53972.25"
"NIFTY500 MOMENTUM 50","24 Nov 2025","54392.3","54406.6","53831.3","53863.30"
"NIFTY500 MOMENTUM 50","21 Nov 2025","54774.3","54795.7","54180.25","54226.70"
"NIFTY500 MOMENTUM 50","20 Nov 2025","54693.85","55028.9","54542.2","54875.35"
"NIFTY500 MOMENTUM 50","19 Nov 2025","54221.3","54507.9","54040.25","54463.00"
"NIFTY500 MOMENTUM 50","18 Nov 2025","54614.3","54652.9","54125.6","54166.05"
"NIFTY500 MOMENTUM 50","17 Nov 2025","54585.95","54685.65","54417.9","54648.90"
"NIFTY500 MOMENTUM 50","14 Nov 2025","54173.95","54461.05","54151.3","54405.90"
"NIFTY500 MOMENTUM 50","13 Nov 2025","54401.1","54517.4","54154.7","54212.30"
"NIFTY500 MOMENTUM 50","12 Nov 2025","54203","54390.8","54070.25","54321.45"
