"Index Name","Date","Open","High","Low","Close"
"NIFTY500 MOMENTUM 50","30 Dec 2016","-","-","-","9921.73"
"NIFTY500 MOMENTUM 50","29 Dec 2016","-","-","-","9808.16"
"NIFTY500 MOMENTUM 50","28 Dec 2016","-","-","-","9649.09"
"NIFTY500 MOMENTUM 50","27 Dec 2016","-","-","-","9583.54"
"NIFTY500 MOMENTUM 50","26 Dec 2016","-","-","-","9370.01"
"NIFTY500 MOMENTUM 50","23 Dec 2016","-","-","-","9601.80"
"NIFTY500 MOMENTUM 50","22 Dec 2016","-","-","-","9573.05"
"NIFTY500 MOMENTUM 50","21 Dec 2016","-","-","-","9757.13"
"NIFTY500 MOMENTUM 50","20 Dec 2016","-","-","-","9774.15"
"NIFTY500 MOMENTUM 50","19 Dec 2016","-","-","-","9882.83"
"NIFTY500 MOMENTUM 50","16 Dec 2016","-","-","-","9977.06"
"NIFTY500 MOMENTUM 50","15 Dec 2016","-","-","-","10014.39"
"NIFTY500 MOMENTUM 50","14 Dec 2016","-","-","-","10039.78"
"NIFTY500 MOMENTUM 50","13 Dec 2016","-","-","-","10132.41"
"NIFTY500 MOMENTUM 50","12 Dec 2016","-","-","-","10224.55"
"NIFTY500 MOMENTUM 50","09 Dec 2016","-","-","-","10417.72"
"NIFTY500 MOMENTUM 50","08 Dec 2016","-","-","-","10390.46"
"NIFTY500 MOMENTUM 50","07 Dec 2016","-","-","-","10212.57"
"NIFTY500 MOMENTUM 50","06 Dec 2016","-","-","-","10225.50"
"NIFTY500 MOMENTUM 50","05 Dec 2016","-","-","-","10146.54"
"NIFTY500 MOMENTUM 50","02 Dec 2016","-","-","-","10091.95"
"NIFTY500 MOMENTUM 50","01 Dec 2016","-","-","-","10251.22"
"NIFTY500 MOMENTUM 50","30 Nov 2016","-","-","-","10431.48"
"NIFTY500 MOMENTUM 50","29 Nov 2016","-","-","-","10337.16"
"NIFTY500 MOMENTUM 50","28 Nov 2016","-","-","-","10246.38"
"NIFTY500 MOMENTUM 50","25 Nov 2016","-","-","-","10190.53"
"NIFTY500 MOMENTUM 50","24 Nov 2016","-","-","-","9986.44"
"NIFTY500 MOMENTUM 50","23 Nov 2016","-","-","-","10023.01"
