"Index Name","Date","Open","High","Low","Close"
"NIFTY500 MOMENTUM 50","31 Dec 2024","56894.35","57353.35","56171.3","57213.25"
"NIFTY500 MOMENTUM 50","30 Dec 2024","58273.7","58343.5","57073.1","57283.45"
"NIFTY500 MOMENTUM 50","27 Dec 2024","58742.95","59026.75","58187.15","58247.90"
"NIFTY500 MOMENTUM 50","26 Dec 2024","58304.95","58664.5","57996.6","58596.90"
"NIFTY500 MOMENTUM 50","24 Dec 2024","58465.1","58709.75","58021.95","58160.60"
"NIFTY500 MOMENTUM 50","23 Dec 2024","58645.3","58727.85","57700.95","58334.75"
"NIFTY500 MOMENTUM 50","20 Dec 2024","60375.1","60578.55","58082.45","58200.05"
"NIFTY500 MOMENTUM 50","19 Dec 2024","59560.2","60459.35","59489.6","60238.80"
"NIFTY500 MOMENTUM 50","18 Dec 2024","61538.6","61608.15","60539.65","60846.20"
"NIFTY500 MOMENTUM 50","17 Dec 2024","62056.8","62394.8","61421.35","61554.80"
"NIFTY500 MOMENTUM 50","16 Dec 2024","61888","62163.65","61814.7","62095.90"
"NIFTY500 MOMENTUM 50","13 Dec 2024","61696.75","61759.05","60572.85","61662.55"
"NIFTY500 MOMENTUM 50","12 Dec 2024","62034.95","62118.65","61697.25","61764.20"
"NIFTY500 MOMENTUM 50","11 Dec 2024","61656.45","62023.95","61543.3","61969.75"
"NIFTY500 MOMENTUM 50","10 Dec 2024","61910.9","61954.95","61265.65","61586.45"
"NIFTY500 MOMENTUM 50","09 Dec 2024","61582","61978.65","61472.8","61756.20"
"NIFTY500 MOMENTUM 50","06 Dec 2024","61293.5","61797.25","61153.45","61527.05"
"NIFTY500 MOMENTUM 50","05 Dec 2024","60859.55","61146.2","60283.1","61039.40"
"NIFTY500 MOMENTUM 50","04 Dec 2024","60686.65","60982.45","60240.25","60594.50"
"NIFTY500 MOMENTUM 50","03 Dec 2024","60009.75","60392.3","59960.15","60352.95"
"NIFTY500 MOMENTUM 50","02 Dec 2024","59282.8","59709.7","59149.5","59633.30"
"NIFTY500 MOMENTUM 50","29 Nov 2024","59108","59469.7","58745.7","59207.35"
"NIFTY500 MOMENTUM 50","28 Nov 2024","59134.5","59808.9","58878.55","59029.25"
