"Index Name","Date","Open","High","Low","Close"
"NIFTY500 MOMENTUM 50","31 Dec 2021","-","-","-","33704.65"
"NIFTY500 MOMENTUM 50","30 Dec 2021","-","-","-","33342.27"
"NIFTY500 MOMENTUM 50","29 Dec 2021","-","-","-","33312.64"
"NIFTY500 MOMENTUM 50","28 Dec 2021","-","-","-","33389.05"
"NIFTY500 MOMENTUM 50","27 Dec 2021","-","-","-","33027.29"
"NIFTY500 MOMENTUM 50","24 Dec 2021","-","-","-","32897.90"
"NIFTY500 MOMENTUM 50","23 Dec 2021","-","-","-","33185.01"
"NIFTY500 MOMENTUM 50","22 Dec 2021","-","-","-","32866.19"
"NIFTY500 MOMENTUM 50","21 Dec 2021","-","-","-","32193.03"
"NIFTY500 MOMENTUM 50","20 Dec 2021","-","-","-","31708.45"
"NIFTY500 MOMENTUM 50","17 Dec 2021","-","-","-","33053.03"
"NIFTY500 MOMENTUM 50","16 Dec 2021","-","-","-","33800.22"
"NIFTY500 MOMENTUM 50","15 Dec 2021","-","-","-","33896.57"
"NIFTY500 MOMENTUM 50","14 Dec 2021","-","-","-","34020.91"
"NIFTY500 MOMENTUM 50","13 Dec 2021","-","-","-","33799.41"
"NIFTY500 MOMENTUM 50","10 Dec 2021","-","-","-","33891.25"
"NIFTY500 MOMENTUM 50","09 Dec 2021","-","-","-","33715.42"
"NIFTY500 MOMENTUM 50","08 Dec 2021","-","-","-","33459.76"
"NIFTY500 MOMENTUM 50","07 Dec 2021","-","-","-","32816.77"
"NIFTY500 MOMENTUM 50","06 Dec 2021","-","-","-","32201.67"
"NIFTY500 MOMENTUM 50","03 Dec 2021","-","-","-","32696.83"
"NIFTY500 MOMENTUM 50","02 Dec 2021","-","-","-","32841.15"
"NIFTY500 MOMENTUM 50","01 Dec 2021","-","-","-","32231.15"
"NIFTY500 MOMENTUM 50","30 Nov 2021","-","-","-","31877.84"
"NIFTY500 MOMENTUM 50","29 Nov 2021","-","-","-","31775.36"
"NIFTY500 MOMENTUM 50","26 Nov 2021","-","-","-","32396.96"
"NIFTY500 MOMENTUM 50","25 Nov 2021","-","-","-","33665.26"
"NIFTY500 MOMENTUM 50","24 Nov 2021","-","-","-","33376.74"
"NIFTY500 MOMENTUM 50","23 Nov 2021","-","-","-","33481.78"
"NIFTY500 MOMENTUM 50","22 Nov 2021","-","-","-","32778.82"
"NIFTY500 MOMENTUM 50","18 Nov 2021","-","-","-","33546.66"
"NIFTY500 MOMENTUM 50","17 Nov 2021","-","-","-","34052.10"
"NIFTY500 MOMENTUM 50","16 Nov 2021","-","-","-","34045.48"
"NIFTY500 MOMENTUM 50","15 Nov 2021","-","-","-","34053.41"
"NIFTY500 MOMENTUM 50","12 Nov 2021","-","-","-","34090.43"
"NIFTY500 MOMENTUM 50","11 Nov 2021","-","-","-","33762.52"
"NIFTY500 MOMENTUM 50","10 Nov 2021","-","-","-","33785.45"
"NIFTY500 MOMENTUM 50","09 Nov 2021","-","-","-","33830.62"
"NIFTY500 MOMENTUM 50","08 Nov 2021","-","-","-","33493.54"
"NIFTY500 MOMENTUM 50","04 Nov 2021","-","-","-","33064.56"
"NIFTY500 MOMENTUM 50","03 Nov 2021","-","-","-","32831.60"
"NIFTY500 MOMENTUM 50","02 Nov 2021","-","-","-","32734.74"
"NIFTY500 MOMENTUM 50","01 Nov 2021","-","-","-","32615.25"
"NIFTY500 MOMENTUM 50","29 Oct 2021","-","-","-","32040.47"
"NIFTY500 MOMENTUM 50","28 Oct 2021","-","-","-","32181.68"
"NIFTY500 MOMENTUM 50","27 Oct 2021","-","-","-","33140.52"
"NIFTY500 MOMENTUM 50","26 Oct 2021","-","-","-","32927.98"
"NIFTY500 MOMENTUM 50","25 Oct 2021","-","-","-","32240.74"
"NIFTY500 MOMENTUM 50","22 Oct 2021","-","-","-","32453.81"
"NIFTY500 MOMENTUM 50","21 Oct 2021","-","-","-","32936.50"
"NIFTY500 MOMENTUM 50","20 Oct 2021","-","-","-","33150.98"
"NIFTY500 MOMENTUM 50","19 Oct 2021","-","-","-","33590.09"
"NIFTY500 MOMENTUM 50","18 Oct 2021","-","-","-","34266.58"
"NIFTY500 MOMENTUM 50","14 Oct 2021","-","-","-","33712.62"
"NIFTY500 MOMENTUM 50","13 Oct 2021","-","-","-","33146.81"
"NIFTY500 MOMENTUM 50","12 Oct 2021","-","-","-","32194.17"
"NIFTY500 MOMENTUM 50","11 Oct 2021","-","-","-","32138.64"
"NIFTY500 MOMENTUM 50","08 Oct 2021","-","-","-","31834.19"
"NIFTY500 MOMENTUM 50","07 Oct 2021","-","-","-","31690.19"
"NIFTY500 MOMENTUM 50","06 Oct 2021","-","-","-","31172.69"
"NIFTY500 MOMENTUM 50","05 Oct 2021","-","-","-","31352.27"
"NIFTY500 MOMENTUM 50","04 Oct 2021","-","-","-","31097.59"
"NIFTY500 MOMENTUM 50","01 Oct 2021","-","-","-","30548.53"
"NIFTY500 MOMENTUM 50","30 Sep 2021","-","-","-","30464.90"
"NIFTY500 MOMENTUM 50","29 Sep 2021","-","-","-","30303.96"
"NIFTY500 MOMENTUM 50","28 Sep 2021","-","-","-","29970.44"
"NIFTY500 MOMENTUM 50","27 Sep 2021","-","-","-","30235.77"
"NIFTY500 MOMENTUM 50","24 Sep 2021","-","-","-","30274.01"
"NIFTY500 MOMENTUM 50","23 Sep 2021","-","-","-","30450.15"
"NIFTY500 MOMENTUM 50","22 Sep 2021","-","-","-","30073.61"
"NIFTY500 MOMENTUM 50","21 Sep 2021","-","-","-","29906.22"
"NIFTY500 MOMENTUM 50","20 Sep 2021","-","-","-","29783.66"
"NIFTY500 MOMENTUM 50","17 Sep 2021","-","-","-","30572.03"
"NIFTY500 MOMENTUM 50","16 Sep 2021","-","-","-","30960.79"
"NIFTY500 MOMENTUM 50","15 Sep 2021","-","-","-","30953.17"
"NIFTY500 MOMENTUM 50","14 Sep 2021","-","-","-","30641.83"
"NIFTY500 MOMENTUM 50","13 Sep 2021","-","-","-","30475.05"
"NIFTY500 MOMENTUM 50","09 Sep 2021","-","-","-","30069.26"
"NIFTY500 MOMENTUM 50","08 Sep 2021","-","-","-","29790.29"
"NIFTY500 MOMENTUM 50","07 Sep 2021","-","-","-","29652.02"
