"Index Name","Date","Open","High","Low","Close"
"NIFTY500 MOMENTUM 50","29 Dec 2023","-","-","-","45317.41"
"NIFTY500 MOMENTUM 50","28 Dec 2023","-","-","-","45143.12"
"NIFTY500 MOMENTUM 50","27 Dec 2023","-","-","-","45306.49"
"NIFTY500 MOMENTUM 50","26 Dec 2023","-","-","-","45313.79"
"NIFTY500 MOMENTUM 50","22 Dec 2023","-","-","-","45050.20"
"NIFTY500 MOMENTUM 50","21 Dec 2023","-","-","-","44838.12"
"NIFTY500 MOMENTUM 50","20 Dec 2023","-","-","-","44141.73"
"NIFTY500 MOMENTUM 50","19 Dec 2023","-","-","-","45357.98"
"NIFTY500 MOMENTUM 50","18 Dec 2023","-","-","-","45465.67"
"NIFTY500 MOMENTUM 50","15 Dec 2023","-","-","-","45244.83"
"NIFTY500 MOMENTUM 50","14 Dec 2023","-","-","-","45182.42"
"NIFTY500 MOMENTUM 50","13 Dec 2023","-","-","-","44619.55"
"NIFTY500 MOMENTUM 50","12 Dec 2023","-","-","-","43913.93"
"NIFTY500 MOMENTUM 50","11 Dec 2023","-","-","-","44083.23"
"NIFTY500 MOMENTUM 50","08 Dec 2023","-","-","-","43468.29"
"NIFTY500 MOMENTUM 50","07 Dec 2023","-","-","-","43304.76"
"NIFTY500 MOMENTUM 50","06 Dec 2023","-","-","-","43405.76"
"NIFTY500 MOMENTUM 50","05 Dec 2023","-","-","-","43268.62"
"NIFTY500 MOMENTUM 50","04 Dec 2023","-","-","-","43127.22"
"NIFTY500 MOMENTUM 50","01 Dec 2023","-","-","-","42413.58"
"NIFTY500 MOMENTUM 50","30 Nov 2023","-","-","-","41716.05"
"NIFTY500 MOMENTUM 50","29 Nov 2023","-","-","-","41219.63"
"NIFTY500 MOMENTUM 50","28 Nov 2023","-","-","-","40909.16"
"NIFTY500 MOMENTUM 50","24 Nov 2023","-","-","-","40792.30"
"NIFTY500 MOMENTUM 50","23 Nov 2023","-","-","-","40850.07"
"NIFTY500 MOMENTUM 50","22 Nov 2023","-","-","-","40820.11"
"NIFTY500 MOMENTUM 50","21 Nov 2023","-","-","-","40656.97"
"NIFTY500 MOMENTUM 50","20 Nov 2023","-","-","-","40922.98"
"NIFTY500 MOMENTUM 50","17 Nov 2023","-","-","-","40516.73"
"NIFTY500 MOMENTUM 50","16 Nov 2023","-","-","-","40429.53"
"NIFTY500 MOMENTUM 50","15 Nov 2023","-","-","-","40099.98"
"NIFTY500 MOMENTUM 50","13 Nov 2023","-","-","-","39704.49"
"NIFTY500 MOMENTUM 50","12 Nov 2023","-","-","-","39663.25"
"NIFTY500 MOMENTUM 50","10 Nov 2023","-","-","-","39325.00"
"NIFTY500 MOMENTUM 50","09 Nov 2023","-","-","-","39086.05"
"NIFTY500 MOMENTUM 50","08 Nov 2023","-","-","-","38950.36"
"NIFTY500 MOMENTUM 50","07 Nov 2023","-","-","-","38503.44"
"NIFTY500 MOMENTUM 50","06 Nov 2023","-","-","-","38300.95"
"NIFTY500 MOMENTUM 50","03 Nov 2023","-","-","-","38192.84"
"NIFTY500 MOMENTUM 50","02 Nov 2023","-","-","-","37906.18"
"NIFTY500 MOMENTUM 50","01 Nov 2023","-","-","-","37217.46"
"NIFTY500 MOMENTUM 50","31 Oct 2023","-","-","-","37348.69"
"NIFTY500 MOMENTUM 50","30 Oct 2023","-","-","-","37281.34"
"NIFTY500 MOMENTUM 50","27 Oct 2023","-","-","-","37348.12"
"NIFTY500 MOMENTUM 50","26 Oct 2023","-","-","-","36560.68"
"NIFTY500 MOMENTUM 50","25 Oct 2023","-","-","-","36895.69"
"NIFTY500 MOMENTUM 50","23 Oct 2023","-","-","-","37308.65"
